# Test:	Laser Sweep (sweepLaser)
# User:	Guest
# Start:	24-Aug-2021 22:22:52
# Finish:	24-Aug-2021 22:24:20
# Device ID:	 AMF_GC1D
# Device coordinates (gds):	367, 2849
# Device coordinates (motor):	-1.142561e+04, 3.423193e+03
# Chip test start:	24-Aug-2021 21:40:27
# Settings:
#	Laser:	HP81682A
#	Detector:	HP81635A
#	Sweep speed:	40 nm/s
#	Number of datasets:	1 
#	Laser power:	0 dBm
#	Wavelength step-size:	0.08 nm
#	Start wavelength:	1480 nm
#	Stop wavelength:	1580 nm
#	Stitch count:	0 
#	Init Range:	0 
#	New sweep plot behavior:	add
#	Turn off laser when done:	yes
#Metric Tag, value [, value]
wavelength,1480,1480.08,1480.16,1480.24,1480.32,1480.4,1480.48,1480.56,1480.64,1480.72,1480.8,1480.88,1480.96,1481.04,1481.12,1481.2,1481.28,1481.36,1481.44,1481.52,1481.6,1481.68,1481.76,1481.84,1481.92,1482,1482.08,1482.16,1482.24,1482.32,1482.4,1482.48,1482.56,1482.64,1482.72,1482.8,1482.88,1482.96,1483.04,1483.12,1483.2,1483.28,1483.36,1483.44,1483.52,1483.6,1483.68,1483.76,1483.84,1483.92,1484,1484.08,1484.16,1484.24,1484.32,1484.4,1484.48,1484.56,1484.64,1484.72,1484.8,1484.88,1484.96,1485.04,1485.12,1485.2,1485.28,1485.36,1485.44,1485.52,1485.6,1485.68,1485.76,1485.84,1485.92,1486,1486.08,1486.16,1486.24,1486.32,1486.4,1486.48,1486.56,1486.64,1486.72,1486.8,1486.88,1486.96,1487.04,1487.12,1487.2,1487.28,1487.36,1487.44,1487.52,1487.6,1487.68,1487.76,1487.84,1487.92,1488,1488.08,1488.16,1488.24,1488.32,1488.4,1488.48,1488.56,1488.64,1488.72,1488.8,1488.88,1488.96,1489.04,1489.12,1489.2,1489.28,1489.36,1489.44,1489.52,1489.6,1489.68,1489.76,1489.84,1489.92,1490,1490.08,1490.16,1490.24,1490.32,1490.4,1490.48,1490.56,1490.64,1490.72,1490.8,1490.88,1490.96,1491.04,1491.12,1491.2,1491.28,1491.36,1491.44,1491.52,1491.6,1491.68,1491.76,1491.84,1491.92,1492,1492.08,1492.16,1492.24,1492.32,1492.4,1492.48,1492.56,1492.64,1492.72,1492.8,1492.88,1492.96,1493.04,1493.12,1493.2,1493.28,1493.36,1493.44,1493.52,1493.6,1493.68,1493.76,1493.84,1493.92,1494,1494.08,1494.16,1494.24,1494.32,1494.4,1494.48,1494.56,1494.64,1494.72,1494.8,1494.88,1494.96,1495.04,1495.12,1495.2,1495.28,1495.36,1495.44,1495.52,1495.6,1495.68,1495.76,1495.84,1495.92,1496,1496.08,1496.16,1496.24,1496.32,1496.4,1496.48,1496.56,1496.64,1496.72,1496.8,1496.88,1496.96,1497.04,1497.12,1497.2,1497.28,1497.36,1497.44,1497.52,1497.6,1497.68,1497.76,1497.84,1497.92,1498,1498.08,1498.16,1498.24,1498.32,1498.4,1498.48,1498.56,1498.64,1498.72,1498.8,1498.88,1498.96,1499.04,1499.12,1499.2,1499.28,1499.36,1499.44,1499.52,1499.6,1499.68,1499.76,1499.84,1499.92,1500,1500.08,1500.16,1500.24,1500.32,1500.4,1500.48,1500.56,1500.64,1500.72,1500.8,1500.88,1500.96,1501.04,1501.12,1501.2,1501.28,1501.36,1501.44,1501.52,1501.6,1501.68,1501.76,1501.84,1501.92,1502,1502.08,1502.16,1502.24,1502.32,1502.4,1502.48,1502.56,1502.64,1502.72,1502.8,1502.88,1502.96,1503.04,1503.12,1503.2,1503.28,1503.36,1503.44,1503.52,1503.6,1503.68,1503.76,1503.84,1503.92,1504,1504.08,1504.16,1504.24,1504.32,1504.4,1504.48,1504.56,1504.64,1504.72,1504.8,1504.88,1504.96,1505.04,1505.12,1505.2,1505.28,1505.36,1505.44,1505.52,1505.6,1505.68,1505.76,1505.84,1505.92,1506,1506.08,1506.16,1506.24,1506.32,1506.4,1506.48,1506.56,1506.64,1506.72,1506.8,1506.88,1506.96,1507.04,1507.12,1507.2,1507.28,1507.36,1507.44,1507.52,1507.6,1507.68,1507.76,1507.84,1507.92,1508,1508.08,1508.16,1508.24,1508.32,1508.4,1508.48,1508.56,1508.64,1508.72,1508.8,1508.88,1508.96,1509.04,1509.12,1509.2,1509.28,1509.36,1509.44,1509.52,1509.6,1509.68,1509.76,1509.84,1509.92,1510,1510.08,1510.16,1510.24,1510.32,1510.4,1510.48,1510.56,1510.64,1510.72,1510.8,1510.88,1510.96,1511.04,1511.12,1511.2,1511.28,1511.36,1511.44,1511.52,1511.6,1511.68,1511.76,1511.84,1511.92,1512,1512.08,1512.16,1512.24,1512.32,1512.4,1512.48,1512.56,1512.64,1512.72,1512.8,1512.88,1512.96,1513.04,1513.12,1513.2,1513.28,1513.36,1513.44,1513.52,1513.6,1513.68,1513.76,1513.84,1513.92,1514,1514.08,1514.16,1514.24,1514.32,1514.4,1514.48,1514.56,1514.64,1514.72,1514.8,1514.88,1514.96,1515.04,1515.12,1515.2,1515.28,1515.36,1515.44,1515.52,1515.6,1515.68,1515.76,1515.84,1515.92,1516,1516.08,1516.16,1516.24,1516.32,1516.4,1516.48,1516.56,1516.64,1516.72,1516.8,1516.88,1516.96,1517.04,1517.12,1517.2,1517.28,1517.36,1517.44,1517.52,1517.6,1517.68,1517.76,1517.84,1517.92,1518,1518.08,1518.16,1518.24,1518.32,1518.4,1518.48,1518.56,1518.64,1518.72,1518.8,1518.88,1518.96,1519.04,1519.12,1519.2,1519.28,1519.36,1519.44,1519.52,1519.6,1519.68,1519.76,1519.84,1519.92,1520,1520.08,1520.16,1520.24,1520.32,1520.4,1520.48,1520.56,1520.64,1520.72,1520.8,1520.88,1520.96,1521.04,1521.12,1521.2,1521.28,1521.36,1521.44,1521.52,1521.6,1521.68,1521.76,1521.84,1521.92,1522,1522.08,1522.16,1522.24,1522.32,1522.4,1522.48,1522.56,1522.64,1522.72,1522.8,1522.88,1522.96,1523.04,1523.12,1523.2,1523.28,1523.36,1523.44,1523.52,1523.6,1523.68,1523.76,1523.84,1523.92,1524,1524.08,1524.16,1524.24,1524.32,1524.4,1524.48,1524.56,1524.64,1524.72,1524.8,1524.88,1524.96,1525.04,1525.12,1525.2,1525.28,1525.36,1525.44,1525.52,1525.6,1525.68,1525.76,1525.84,1525.92,1526,1526.08,1526.16,1526.24,1526.32,1526.4,1526.48,1526.56,1526.64,1526.72,1526.8,1526.88,1526.96,1527.04,1527.12,1527.2,1527.28,1527.36,1527.44,1527.52,1527.6,1527.68,1527.76,1527.84,1527.92,1528,1528.08,1528.16,1528.24,1528.32,1528.4,1528.48,1528.56,1528.64,1528.72,1528.8,1528.88,1528.96,1529.04,1529.12,1529.2,1529.28,1529.36,1529.44,1529.52,1529.6,1529.68,1529.76,1529.84,1529.92,1530,1530.08,1530.16,1530.24,1530.32,1530.4,1530.48,1530.56,1530.64,1530.72,1530.8,1530.88,1530.96,1531.04,1531.12,1531.2,1531.28,1531.36,1531.44,1531.52,1531.6,1531.68,1531.76,1531.84,1531.92,1532,1532.08,1532.16,1532.24,1532.32,1532.4,1532.48,1532.56,1532.64,1532.72,1532.8,1532.88,1532.96,1533.04,1533.12,1533.2,1533.28,1533.36,1533.44,1533.52,1533.6,1533.68,1533.76,1533.84,1533.92,1534,1534.08,1534.16,1534.24,1534.32,1534.4,1534.48,1534.56,1534.64,1534.72,1534.8,1534.88,1534.96,1535.04,1535.12,1535.2,1535.28,1535.36,1535.44,1535.52,1535.6,1535.68,1535.76,1535.84,1535.92,1536,1536.08,1536.16,1536.24,1536.32,1536.4,1536.48,1536.56,1536.64,1536.72,1536.8,1536.88,1536.96,1537.04,1537.12,1537.2,1537.28,1537.36,1537.44,1537.52,1537.6,1537.68,1537.76,1537.84,1537.92,1538,1538.08,1538.16,1538.24,1538.32,1538.4,1538.48,1538.56,1538.64,1538.72,1538.8,1538.88,1538.96,1539.04,1539.12,1539.2,1539.28,1539.36,1539.44,1539.52,1539.6,1539.68,1539.76,1539.84,1539.92,1540,1540.08,1540.16,1540.24,1540.32,1540.4,1540.48,1540.56,1540.64,1540.72,1540.8,1540.88,1540.96,1541.04,1541.12,1541.2,1541.28,1541.36,1541.44,1541.52,1541.6,1541.68,1541.76,1541.84,1541.92,1542,1542.08,1542.16,1542.24,1542.32,1542.4,1542.48,1542.56,1542.64,1542.72,1542.8,1542.88,1542.96,1543.04,1543.12,1543.2,1543.28,1543.36,1543.44,1543.52,1543.6,1543.68,1543.76,1543.84,1543.92,1544,1544.08,1544.16,1544.24,1544.32,1544.4,1544.48,1544.56,1544.64,1544.72,1544.8,1544.88,1544.96,1545.04,1545.12,1545.2,1545.28,1545.36,1545.44,1545.52,1545.6,1545.68,1545.76,1545.84,1545.92,1546,1546.08,1546.16,1546.24,1546.32,1546.4,1546.48,1546.56,1546.64,1546.72,1546.8,1546.88,1546.96,1547.04,1547.12,1547.2,1547.28,1547.36,1547.44,1547.52,1547.6,1547.68,1547.76,1547.84,1547.92,1548,1548.08,1548.16,1548.24,1548.32,1548.4,1548.48,1548.56,1548.64,1548.72,1548.8,1548.88,1548.96,1549.04,1549.12,1549.2,1549.28,1549.36,1549.44,1549.52,1549.6,1549.68,1549.76,1549.84,1549.92,1550,1550.08,1550.16,1550.24,1550.32,1550.4,1550.48,1550.56,1550.64,1550.72,1550.8,1550.88,1550.96,1551.04,1551.12,1551.2,1551.28,1551.36,1551.44,1551.52,1551.6,1551.68,1551.76,1551.84,1551.92,1552,1552.08,1552.16,1552.24,1552.32,1552.4,1552.48,1552.56,1552.64,1552.72,1552.8,1552.88,1552.96,1553.04,1553.12,1553.2,1553.28,1553.36,1553.44,1553.52,1553.6,1553.68,1553.76,1553.84,1553.92,1554,1554.08,1554.16,1554.24,1554.32,1554.4,1554.48,1554.56,1554.64,1554.72,1554.8,1554.88,1554.96,1555.04,1555.12,1555.2,1555.28,1555.36,1555.44,1555.52,1555.6,1555.68,1555.76,1555.84,1555.92,1556,1556.08,1556.16,1556.24,1556.32,1556.4,1556.48,1556.56,1556.64,1556.72,1556.8,1556.88,1556.96,1557.04,1557.12,1557.2,1557.28,1557.36,1557.44,1557.52,1557.6,1557.68,1557.76,1557.84,1557.92,1558,1558.08,1558.16,1558.24,1558.32,1558.4,1558.48,1558.56,1558.64,1558.72,1558.8,1558.88,1558.96,1559.04,1559.12,1559.2,1559.28,1559.36,1559.44,1559.52,1559.6,1559.68,1559.76,1559.84,1559.92,1560,1560.08,1560.16,1560.24,1560.32,1560.4,1560.48,1560.56,1560.64,1560.72,1560.8,1560.88,1560.96,1561.04,1561.12,1561.2,1561.28,1561.36,1561.44,1561.52,1561.6,1561.68,1561.76,1561.84,1561.92,1562,1562.08,1562.16,1562.24,1562.32,1562.4,1562.48,1562.56,1562.64,1562.72,1562.8,1562.88,1562.96,1563.04,1563.12,1563.2,1563.28,1563.36,1563.44,1563.52,1563.6,1563.68,1563.76,1563.84,1563.92,1564,1564.08,1564.16,1564.24,1564.32,1564.4,1564.48,1564.56,1564.64,1564.72,1564.8,1564.88,1564.96,1565.04,1565.12,1565.2,1565.28,1565.36,1565.44,1565.52,1565.6,1565.68,1565.76,1565.84,1565.92,1566,1566.08,1566.16,1566.24,1566.32,1566.4,1566.48,1566.56,1566.64,1566.72,1566.8,1566.88,1566.96,1567.04,1567.12,1567.2,1567.28,1567.36,1567.44,1567.52,1567.6,1567.68,1567.76,1567.84,1567.92,1568,1568.08,1568.16,1568.24,1568.32,1568.4,1568.48,1568.56,1568.64,1568.72,1568.8,1568.88,1568.96,1569.04,1569.12,1569.2,1569.28,1569.36,1569.44,1569.52,1569.6,1569.68,1569.76,1569.84,1569.92,1570,1570.08,1570.16,1570.24,1570.32,1570.4,1570.48,1570.56,1570.64,1570.72,1570.8,1570.88,1570.96,1571.04,1571.12,1571.2,1571.28,1571.36,1571.44,1571.52,1571.6,1571.68,1571.76,1571.84,1571.92,1572,1572.08,1572.16,1572.24,1572.32,1572.4,1572.48,1572.56,1572.64,1572.72,1572.8,1572.88,1572.96,1573.04,1573.12,1573.2,1573.28,1573.36,1573.44,1573.52,1573.6,1573.68,1573.76,1573.84,1573.92,1574,1574.08,1574.16,1574.24,1574.32,1574.4,1574.48,1574.56,1574.64,1574.72,1574.8,1574.88,1574.96,1575.04,1575.12,1575.2,1575.28,1575.36,1575.44,1575.52,1575.6,1575.68,1575.76,1575.84,1575.92,1576,1576.08,1576.16,1576.24,1576.32,1576.4,1576.48,1576.56,1576.64,1576.72,1576.8,1576.88,1576.96,1577.04,1577.12,1577.2,1577.28,1577.36,1577.44,1577.52,1577.6,1577.68,1577.76,1577.84,1577.92,1578,1578.08,1578.16,1578.24,1578.32,1578.4,1578.48,1578.56,1578.64,1578.72,1578.8,1578.88,1578.96,1579.04,1579.12,1579.2,1579.28,1579.36,1579.44,1579.52,1579.6,1579.68,1579.76,1579.84,1579.92,1580
channel_1,-50.6219,-50.405,-48.53,-47.7694,-48.8163,-50.405,-49.998,-48.2614,-50.6219,-48.2614,-51.0953,-49.998,-47.7694,-47.7694,-51.0953,-48.6719,-48.9656,-49.1228,-49.998,-48.9656,-48.6719,-50.1984,-51.3551,-51.6267,-48.2614,-48.8163,-50.1984,-49.2832,-56.1959,-50.405,-49.998,-48.9656,-51.6267,-48.3947,-47.6556,-48.53,-51.6267,-49.998,-49.6259,-48.3947,-49.8095,-49.998,-48.0084,-48.2614,-49.1228,-49.4526,-47.7694,-48.8163,-49.8095,-50.405,-46.9281,-48.3947,-50.8541,-48.0084,-47.1241,-51.9215,-49.6259,-50.6219,-50.6219,-48.53,-49.4526,-49.998,-49.4526,-53.3397,-52.9363,-48.1341,-49.998,-48.1341,-51.0953,-50.405,-49.998,-49.2832,-49.4526,-49.4526,-49.8095,-51.9215,-49.1228,-50.1984,-50.6219,-47.5447,-48.9656,-52.5729,-48.2614,-49.8095,-49.6259,-49.6259,-49.4526,-48.0084,-49.2832,-49.6259,-47.2246,-49.2832,-48.2614,-49.998,-47.0242,-51.6267,-48.1341,-48.8163,-51.6267,-50.8541,-48.6719,-49.4526,-47.7694,-49.2832,-49.6259,-51.6267,-62.1383,-48.9656,-51.9215,-49.998,-50.8541,-51.6267,-50.8541,-48.9656,-52.5729,-49.2832,-48.9656,-47.6556,-50.6219,-50.8541,-48.3947,-50.405,-51.0953,-48.53,-52.5729,-48.2614,-48.6719,-48.8163,-50.8541,-50.6219,-49.998,-48.8163,-49.2832,-49.998,-48.8163,-48.2614,-50.6219,-51.9215,-49.4526,-48.1341,-52.2323,-50.6219,-50.1984,-47.8883,-46.4745,-52.5729,-50.405,-50.405,-48.9656,-49.4526,-48.2614,-47.4348,-49.2832,-48.8163,-50.6219,-49.6259,-48.6719,-48.8163,-48.2614,-48.3947,-48.9656,-49.998,-47.7694,-48.6719,-51.3551,-48.8163,-48.6719,-49.998,-48.3947,-48.3947,-48.0084,-49.6259,-48.3947,-48.0084,-53.3397,-49.6259,-49.8095,-49.8095,-50.8541,-57.0835,-49.2832,-48.9656,-48.6719,-49.6259,-49.6259,-49.4526,-50.405,-49.6259,-52.9363,-48.0084,-50.1984,-49.6259,-48.53,-51.0953,-50.8541,-49.8095,-49.2832,-49.998,-50.1984,-49.2832,-51.6267,-48.9656,-48.9656,-50.6219,-50.6219,-49.2832,-49.2832,-48.3947,-48.1341,-49.4526,-50.405,-49.1228,-50.6219,-48.2614,-49.6259,-49.8095,-49.1228,-48.0084,-49.998,-50.8541,-48.2614,-48.8163,-49.998,-49.998,-49.4526,-49.998,-48.53,-49.8095,-49.4526,-48.2614,-49.4526,-49.2832,-49.4526,-48.8163,-49.4526,-49.1228,-51.0953,-48.3947,-49.4526,-50.6219,-48.6719,-52.5729,-52.5729,-49.6259,-47.3293,-49.2832,-49.8095,-48.6719,-48.53,-49.6259,-49.998,-48.3947,-47.2246,-49.2832,-51.6267,-53.3397,-50.405,-48.53,-49.8095,-50.8541,-47.0242,-52.2323,-49.8095,-51.3551,-49.1228,-48.6719,-49.8095,-48.8163,-49.6259,-49.2832,-49.4526,-49.2832,-47.8883,-51.0953,-48.0084,-49.6259,-47.7694,-49.2832,-49.4526,-48.53,-48.1341,-48.1341,-54.8201,-48.2614,-50.405,-48.9656,-50.405,-48.3947,-49.1228,-49.2832,-51.0953,-50.405,-48.1341,-48.8163,-48.8163,-49.6259,-50.405,-49.2832,-47.7694,-49.4526,-46.7406,-46.8326,-52.2323,-49.8095,-47.7694,-49.6259,-49.4526,-48.2614,-48.6719,-49.2832,-49.2832,-49.1228,-49.4526,-49.6259,-53.7768,-47.3293,-50.1984,-50.405,-50.6219,-47.1241,-54.263,-50.405,-52.2323,-49.2832,-48.3947,-48.1341,-48.1341,-48.8163,-57.0835,-47.8883,-48.2614,-48.53,-48.2614,-48.53,-49.1228,-48.3947,-47.3293,-48.6719,-48.3947,-49.1228,-51.9215,-51.9215,-49.998,-48.0084,-50.6219,-48.8163,-48.2614,-48.1341,-49.4526,-50.6219,-47.2246,-49.2832,-49.6259,-49.6259,-49.1228,-50.1984,-48.6719,-48.53,-51.0953,-49.1228,-50.6219,-50.6219,-50.8541,-51.3551,-49.2832,-49.6259,-48.2614,-49.1228,-48.9656,-47.7694,-48.9656,-50.8541,-51.0953,-49.8095,-49.2832,-47.7694,-49.998,-48.8163,-52.2323,-50.1984,-48.53,-50.405,-48.8163,-58.2214,-49.8095,-49.998,-47.7694,-49.8095,-49.998,-48.53,-50.405,-50.8541,-49.6259,-48.53,-49.8095,-48.6719,-47.5447,-48.0084,-47.8883,-48.2614,-51.0953,-49.8095,-49.4526,-47.8883,-48.53,-49.998,-47.8883,-49.1228,-49.1228,-48.1341,-52.2323,-51.0953,-49.998,-49.6259,-49.998,-49.1228,-48.1341,-53.7768,-51.6267,-49.6259,-50.405,-49.6259,-48.1341,-48.3947,-48.2614,-47.8883,-48.3947,-49.2832,-49.1228,-50.405,-48.6719,-49.4526,-53.7768,-48.9656,-51.6267,-49.2832,-49.8095,-49.998,-50.8541,-50.6219,-50.8541,-49.2832,-49.6259,-51.3551,-52.2323,-50.405,-51.6267,-49.6259,-48.3947,-50.405,-49.998,-47.8883,-49.6259,-51.0953,-49.2832,-48.9656,-48.9656,-49.4526,-49.2832,-48.53,-51.3551,-48.9656,-49.4526,-49.998,-48.8163,-49.1228,-49.6259,-49.998,-49.998,-48.0084,-51.0953,-50.6219,-48.6719,-50.405,-55.4482,-52.9363,-48.0084,-49.998,-49.2832,-50.1984,-48.6719,-49.2832,-50.8541,-53.3397,-48.53,-48.9656,-48.0084,-48.1341,-49.8095,-49.1228,-47.1241,-48.8163,-51.6267,-48.8163,-51.0953,-50.6219,-46.3052,-49.998,-48.0084,-48.2614,-48.2614,-49.998,-49.6259,-48.3947,-48.3947,-49.4526,-49.8095,-49.8095,-48.6719,-48.3947,-50.405,-48.9656,-48.9656,-48.2614,-48.1341,-48.53,-48.3947,-51.6267,-49.4526,-48.8163,-50.405,-49.4526,-47.4348,-48.0084,-49.4526,-50.8541,-50.1984,-50.1984,-48.1341,-50.405,-50.405,-50.1984,-50.1984,-49.8095,-50.8541,-50.1984,-52.2323,-48.8163,-48.8163,-48.53,-50.405,-50.6219,-50.8541,-48.9656,-50.8541,-48.9656,-49.4526,-48.53,-50.405,-50.1984,-49.998,-47.3293,-49.998,-49.2832,-51.9215,-48.9656,-50.405,-50.6219,-49.8095,-48.1341,-47.7694,-50.1984,-49.8095,-50.6219,-50.1984,-49.8095,-51.0953,-48.8163,-49.6259,-48.2614,-48.3947,-47.1241,-50.405,-50.405,-48.3947,-47.3293,-48.0084,-47.8883,-49.6259,-51.6267,-48.3947,-49.4526,-51.6267,-49.1228,-48.8163,-48.8163,-50.6219,-47.3293,-48.6719,-50.6219,-48.8163,-47.5447,-49.1228,-48.9656,-50.6219,-48.9656,-48.2614,-49.1228,-50.1984,-51.3551,-48.2614,-49.2832,-48.53,-50.6219,-49.8095,-48.9656,-49.998,-52.9363,-49.8095,-52.5729,-49.998,-51.0953,-50.1984,-51.9215,-48.8163,-49.4526,-50.6219,-51.0953,-48.3947,-50.405,-48.1341,-54.263,-50.1984,-50.1984,-49.8095,-49.6259,-51.0953,-49.2832,-49.8095,-49.1228,-49.1228,-51.6267,-51.3551,-49.1228,-51.9215,-48.53,-48.2614,-48.53,-52.5729,-49.998,-47.6556,-47.6556,-48.9656,-48.8163,-47.6556,-48.0084,-48.1341,-48.53,-50.6219,-47.2246,-48.2614,-48.8163,-48.8163,-49.8095,-47.7694,-47.7694,-49.998,-49.2832,-50.8541,-50.6219,-49.2832,-49.8095,-48.53,-48.3947,-48.0084,-51.0953,-48.1341,-51.0953,-51.0953,-48.6719,-49.1228,-51.6267,-48.6719,-51.3551,-51.6267,-48.0084,-51.0953,-49.4526,-51.9215,-47.5447,-49.1228,-49.4526,-47.3293,-50.6219,-49.2832,-48.0084,-48.2614,-47.8883,-50.1984,-48.53,-56.1959,-49.4526,-50.405,-47.2246,-48.0084,-50.405,-48.2614,-48.2614,-49.6259,-53.3397,-46.8326,-49.8095,-51.6267,-48.1341,-48.2614,-48.1341,-48.9656,-48.53,-51.3551,-48.8163,-49.6259,-49.2832,-48.9656,-48.0084,-48.9656,-54.8201,-47.8883,-51.0953,-50.8541,-53.3397,-50.8541,-52.2323,-48.6719,-49.1228,-49.1228,-51.0953,-50.405,-51.9215,-54.263,-47.5447,-49.8095,-49.6259,-48.3947,-50.405,-48.53,-47.8883,-48.9656,-49.2832,-47.6556,-48.6719,-48.0084,-49.6259,-49.1228,-49.4526,-47.7694,-49.2832,-49.1228,-48.8163,-49.2832,-51.3551,-50.6219,-48.1341,-47.4348,-48.1341,-48.1341,-49.1228,-49.998,-49.1228,-51.0953,-48.6719,-49.8095,-49.2832,-51.3551,-48.9656,-49.8095,-48.6719,-49.998,-48.3947,-48.1341,-48.1341,-48.6719,-48.0084,-48.9656,-49.4526,-48.8163,-49.4526,-48.3947,-50.1984,-51.9215,-48.9656,-49.1228,-48.1341,-48.1341,-48.6719,-49.2832,-47.3293,-50.8541,-52.2323,-48.8163,-50.6219,-51.3551,-49.998,-50.1984,-47.8883,-48.6719,-48.6719,-48.8163,-48.53,-51.0953,-50.1984,-48.53,-49.6259,-48.6719,-51.3551,-48.8163,-51.3551,-51.0953,-48.53,-50.8541,-48.53,-48.0084,-48.9656,-51.3551,-50.1984,-50.8541,-48.53,-47.7694,-48.8163,-48.8163,-48.1341,-51.9215,-49.8095,-48.8163,-51.3551,-48.1341,-50.1984,-49.4526,-49.8095,-52.5729,-49.4526,-48.53,-50.6219,-52.9363,-48.0084,-49.2832,-49.8095,-50.6219,-49.8095,-48.2614,-51.3551,-48.9656,-49.1228,-49.998,-48.6719,-48.9656,-49.998,-48.53,-49.6259,-49.2832,-50.405,-48.0084,-49.6259,-52.5729,-48.3947,-49.998,-49.4526,-49.1228,-51.0953,-49.1228,-48.3947,-49.998,-47.5447,-50.405,-53.3397,-55.4482,-49.1228,-48.1341,-48.3947,-48.2614,-48.53,-48.8163,-47.3293,-50.1984,-48.8163,-49.4526,-48.3947,-47.8883,-47.8883,-48.9656,-49.6259,-48.53,-49.8095,-52.9363,-48.8163,-50.405,-51.0953,-48.9656,-49.4526,-55.4482,-51.0953,-48.9656,-50.405,-49.1228,-50.6219,-48.2614,-51.6267,-47.8883,-49.998,-49.998,-52.2323,-49.998,-49.8095,-49.4526,-51.9215,-49.998,-47.7694,-50.405,-49.6259,-50.405,-50.1984,-47.4348,-49.2832,-48.2614,-58.2214,-48.53,-49.4526,-49.1228,-50.8541,-48.9656,-49.1228,-54.8201,-48.53,-48.53,-48.2614,-48.9656,-51.6267,-48.1341,-48.6719,-47.4348,-48.53,-48.2614,-47.2246,-48.9656,-49.8095,-51.0953,-48.9656,-48.6719,-49.1228,-48.53,-49.6259,-49.998,-48.6719,-48.9656,-48.0084,-50.6219,-48.6719,-48.53,-48.1341,-47.8883,-49.998,-50.405,-52.5729,-49.998,-50.1984,-49.1228,-51.0953,-47.6556,-48.9656,-50.405,-48.53,-50.8541,-48.9656,-47.3293,-50.6219,-49.6259,-50.405,-49.4526,-48.9656,-48.6719,-49.998,-48.6719,-47.8883,-51.0953,-49.2832,-48.6719,-49.6259,-48.1341,-51.6267,-49.8095,-51.3551,-49.998,-50.8541,-48.3947,-49.1228,-48.6719,-53.7768,-50.1984,-48.8163,-49.998,-50.6219,-48.9656,-47.6556,-48.0084,-48.2614,-48.9656,-49.4526,-49.2832,-51.0953,-48.8163,-54.8201,-47.4348,-51.6267,-49.2832,-48.6719,-48.3947,-51.3551,-48.6719,-51.6267,-48.53,-52.2323,-50.405,-47.1241,-50.6219,-49.8095,-49.6259,-49.8095,-48.3947,-48.2614,-50.8541,-49.4526,-50.405,-49.2832,-48.53,-49.1228,-48.8163,-50.1984,-51.3551,-48.3947,-48.6719,-49.4526,-47.3293,-49.1228,-49.2832,-50.8541,-50.405,-48.6719,-49.4526,-50.8541,-48.53,-48.2614,-49.4526,-50.8541,-49.1228,-50.8541,-48.0084,-49.8095,-48.3947,-48.2614,-49.4526,-50.8541,-49.8095,-48.6719,-49.6259,-47.8883,-51.0953,-48.9656,-50.6219,-49.8095,-50.6219,-51.3551,-48.6719,-51.9215,-50.6219,-48.53,-51.9215,-50.405,-48.9656,-49.4526,-48.9656,-49.4526,-49.6259,-52.5729,-50.405,-53.7768,-49.4526,-49.4526,-51.0953,-52.9363,-47.3293,-48.2614,-48.8163,-47.3293,-49.1228,-48.2614,-51.6267,-49.2832,-50.8541,-51.0953,-51.0953,-50.1984,-50.405,-49.998,-49.2832,-51.3551,-48.0084,-49.2832,-49.4526,-48.1341,-47.5447,-50.6219,-48.0084,-49.1228,-49.4526,-49.8095,-50.8541,-50.1984,-49.998,-50.8541,-49.6259,-51.0953,-51.3551,-49.1228,-49.8095,-49.998,-50.1984,-49.2832,-49.8095,-50.8541,-48.1341,-49.4526,-52.9363,-48.2614,-49.998,-49.4526,-50.1984,-54.8201,-48.9656,-49.998,-49.6259,-49.1228,-49.998,-49.998,-50.6219,-49.2832,-51.0953,-48.8163,-49.8095,-50.1984,-52.2323,-49.1228,-55.4482,-50.6219,-49.4526,-51.3551,-50.1984,-48.8163,-49.4526,-48.8163,-49.2832,-50.1984,-48.6719,-49.2832,-49.8095,-50.405,-49.4526,-54.263,-50.8541,-50.405,-48.6719,-48.2614,-50.6219,-51.0953,-49.4526,-49.998,-47.8883,-48.6719,-50.8541,-49.2832,-49.1228,-50.8541,-48.53,-47.6556,-53.7768,-51.9215,-48.6719,-48.8163,-47.8883,-49.4526,-49.1228,-50.6219,-48.9656,-48.53,-51.0953,-48.9656,-48.9656,-47.7694,-49.6259,-49.1228,-49.1228,-52.9363,-49.8095,-48.6719,-49.2832,-50.1984,-51.0953,-51.6267,-51.6267,-49.2832,-50.405,-49.8095,-48.8163,-51.3551,-50.405,-49.8095,-48.9656,-50.405,-48.6719,-50.8541,-49.6259,-49.8095,-50.405,-49.2832,-49.8095,-49.998,-49.1228,-49.4526,-49.8095,-49.4526,-49.998,-50.6219,-51.0953,-48.1341,-50.8541,-50.1984,-48.3947,-49.998,-50.8541,-48.8163,-49.998,-47.8883,-51.3551,-49.2832,-48.53,-47.5447,-49.6259,-49.1228,-50.1984,-50.1984,-50.405,-49.2832,-48.9656,-52.9363,-47.7694,-49.2832,-51.3551,-50.6219,-50.6219,-50.6219,-50.405,-48.9656,-46.3052
