["port 1","LEFT"]
["port 2","RIGHT"]
2.4026644600280506e+14 2.1377604485669269e-01 -5.7505987129746057e+00
2.4076700109864425e+14 2.0105353579416166e-01 -5.7518018768146870e+00
2.4126755619448341e+14 1.8894181376551714e-01 -5.7664862757743887e+00
2.4176811129032259e+14 1.7744073855694800e-01 -5.7872352963439786e+00
("port 1","TE",1,"port 2",1,"transmission",3.8277940284508814e-13)
(52, 3)
2.1724091159420291e+14 4.3284361279602640e-02 6.6539316718929598e-01
2.1774146669004209e+14 4.6447941996664854e-02 5.2251432511730644e-01
2.1824202178588125e+14 5.0085139996136764e-02 3.6672572342143633e-01
2.1874257688172044e+14 5.2816315816634964e-02 2.2975432767074006e-01
2.1924313197755962e+14 5.3737617894582666e-02 7.2020976823187560e-02
2.1974368707339878e+14 5.4415028568056557e-02 -1.2567654164324615e-01
2.2024424216923797e+14 5.5061427463628812e-02 -3.6204187717703856e-01
2.2074479726507716e+14 5.7980347817146019e-02 -6.5773075493238708e-01
2.2124535236091631e+14 6.7206020690113763e-02 -9.7170394836925333e-01
2.2174590745675550e+14 8.4372338807884500e-02 -1.2217471298285454e+00
2.2224646255259469e+14 1.0707383861618043e-01 -1.3923138177063443e+00
2.2274701764843384e+14 1.3384856706208659e-01 -1.5131568655136831e+00
2.2324757274427303e+14 1.6423052334218283e-01 -1.5997595912529750e+00
2.2374812784011222e+14 1.9689878826057669e-01 -1.6615405553018543e+00
2.2424868293595138e+14 2.3169171432615263e-01 -1.7102913730171738e+00
2.2474923803179056e+14 2.6909437490924620e-01 -1.7461030524325043e+00
2.2524979312762975e+14 3.0721467771405320e-01 -1.7681787589028581e+00
2.2575034822346891e+14 3.4523478868709495e-01 -1.7832530050743522e+00
2.2625090331930809e+14 3.8346952820989810e-01 -1.7890385731260898e+00
2.2675145841514728e+14 4.1735612132221994e-01 -1.7858519204615013e+00
2.2725201351098644e+14 4.4869816128554418e-01 -1.7831808392573232e+00
2.2775256860682562e+14 4.7565920076528395e-01 -1.7679411386415367e+00
2.2825312370266481e+14 4.8987282070271304e-01 -1.7573566002562908e+00
2.2875367879850400e+14 5.0479533573098567e-01 -1.7555889800033517e+00
2.2925423389434316e+14 5.1076897787494158e-01 -1.7361554451073875e+00
2.2948156099111853e+14 5.0661278086749018e-01 -1.7311237193020537e+00
2.2952746189340697e+14 5.0547083510830826e-01 -1.7311237193020537e+00
2.2975478899018234e+14 5.0009590206300036e-01 -1.7363030211928969e+00
2.3025534408602150e+14 4.9591445780264637e-01 -1.7516917483618013e+00
2.3075589918186069e+14 4.8288061742148120e-01 -1.7495964916726106e+00
2.3125645427769988e+14 4.5716575032789214e-01 -1.7772668223339632e+00
2.3175700937353906e+14 4.4405871739556396e-01 -1.8218530375361204e+00
2.3225756446937822e+14 4.2574270196232666e-01 -1.8462594663342160e+00
2.3275811956521741e+14 3.9901271580417913e-01 -1.8968335578776985e+00
2.3325867466105659e+14 3.8567175734869441e-01 -1.9668646280072035e+00
2.3375922975689575e+14 3.7085150933954136e-01 -2.0052265491606258e+00
2.3425978485273494e+14 3.4707955898175824e-01 -2.0589263145275689e+00
2.3476033994857412e+14 3.3004609196667856e-01 -2.1398736683202353e+00
2.3526089504441328e+14 3.1751396633175072e-01 -2.1944093239873856e+00
2.3576145014025247e+14 2.9753207987942820e-01 -2.2509523747782541e+00
2.3626200523609166e+14 2.7919016845935896e-01 -2.3314418641352432e+00
2.3676256033193081e+14 2.6616523467542186e-01 -2.3993824288236025e+00
2.3726311542777000e+14 2.4880904579355789e-01 -2.4620536656839245e+00
2.3776367052360919e+14 2.3172044847197409e-01 -2.5432247414095372e+00
2.3826422561944834e+14 2.1884381488564356e-01 -2.6133065531342590e+00
2.3876478071528753e+14 2.0137756640881496e-01 -2.6727232740022075e+00
2.3926533581112672e+14 1.8209570986753737e-01 -2.7588458296798475e+00
2.3976589090696588e+14 1.6817288716726081e-01 -2.8515455475578579e+00
2.4026644600280506e+14 1.5257787722641511e-01 -2.9236915748471213e+00
2.4076700109864425e+14 1.3293638536181215e-01 -3.0235805020077571e+00
2.4126755619448341e+14 1.1833394135044333e-01 -3.1727931861333754e+00
2.4176811129032259e+14 1.0828394144235540e-01 -3.3095923188582028e+00
("port 2","TE",1,"port 1",1,"transmission",3.8201778705796936e-13)
(52, 3)
2.1724091159420291e+14 4.3347613920057905e-02 6.0419841406052233e-01
2.1774146669004209e+14 4.6603697946692391e-02 4.7286085656115817e-01
2.1824202178588125e+14 4.9679470721582776e-02 3.1505283933519995e-01
2.1874257688172044e+14 5.3047685003444964e-02 1.7661182367166409e-01
2.1924313197755962e+14 5.3724952127885292e-02 3.1915533499338920e-02
2.1974368707339878e+14 5.4056961598301576e-02 -1.7454546270219065e-01
2.2024424216923797e+14 5.5539863480183305e-02 -4.0233056559335256e-01
2.2074479726507716e+14 5.7615871105189238e-02 -6.8994387105576327e-01
2.2124535236091631e+14 6.7256359350938114e-02 -1.0119671653098852e+00
2.2174590745675550e+14 8.4386045219511790e-02 -1.2461246623151108e+00
2.2224646255259469e+14 1.0611457515947136e-01 -1.4208784495805706e+00
2.2274701764843384e+14 1.3357247970456970e-01 -1.5414693406012556e+00
2.2324757274427303e+14 1.6317484997975035e-01 -1.6191971039694051e+00
2.2374812784011222e+14 1.9495813000258458e-01 -1.6850584959792709e+00
2.2424868293595138e+14 2.3062369793125617e-01 -1.7310462358333869e+00
2.2474923803179056e+14 2.6661656671435002e-01 -1.7606233128057285e+00
2.2524979312762975e+14 3.0398182255105316e-01 -1.7864096128418823e+00
2.2575034822346891e+14 3.4329147040531771e-01 -1.7973363711776882e+00
2.2625090331930809e+14 3.7906287626885354e-01 -1.7979761956230669e+00
2.2675145841514728e+14 4.1302897877486622e-01 -1.7994849678193090e+00
2.2725201351098644e+14 4.4580362943729102e-01 -1.7895622325468943e+00
2.2775256860682562e+14 4.6910012748507673e-01 -1.7725054382964636e+00
2.2825312370266481e+14 4.8563646161753321e-01 -1.7651143093154074e+00
2.2875367879850400e+14 5.0038090489585374e-01 -1.7542939300207241e+00
2.2925423389434316e+14 5.0354511840031868e-01 -1.7368920521950089e+00
2.2948156099111853e+14 5.0070940285581977e-01 -1.7339268352758479e+00
2.2952746189340697e+14 5.0000011009158163e-01 -1.7339268352758479e+00
2.2975478899018234e+14 4.9652330790470828e-01 -1.7363340097442364e+00
2.3025534408602150e+14 4.9031450844507829e-01 -1.7437872509324854e+00
2.3075589918186069e+14 4.7658905532128687e-01 -1.7455860488796240e+00
2.3125645427769988e+14 4.5412282496148959e-01 -1.7688587443866604e+00
2.3175700937353906e+14 4.3821567972192527e-01 -1.8084852091333525e+00
2.3225756446937822e+14 4.2111891193285883e-01 -1.8358119003986224e+00
2.3275811956521741e+14 3.9608925284619145e-01 -1.8813061907856747e+00
2.3325867466105659e+14 3.8043580452615988e-01 -1.9476800725515457e+00
2.3375922975689575e+14 3.6770066696736725e-01 -1.9887603918036050e+00
2.3425978485273494e+14 3.4393826973810215e-01 -2.0363148807038924e+00
2.3476033994857412e+14 3.2605432434359360e-01 -2.1155597571509648e+00
2.3526089504441328e+14 3.1504115630426516e-01 -2.1718872811847594e+00
2.3576145014025247e+14 2.9469452654432526e-01 -2.2212044776392239e+00
2.3626200523609166e+14 2.7607866244919760e-01 -2.3026623845481158e+00
2.3676256033193081e+14 2.6428111730271014e-01 -2.3698083978966453e+00
2.3726311542777000e+14 2.4637285611503684e-01 -2.4258310357074939e+00
2.3776367052360919e+14 2.2930661809104583e-01 -2.5090532707316311e+00
2.3826422561944834e+14 2.1745021550099189e-01 -2.5765677407034131e+00
2.3876478071528753e+14 1.9938067635785470e-01 -2.6295464846174892e+00
2.3926533581112672e+14 1.8031572677702890e-01 -2.7188729725444722e+00
2.3976589090696588e+14 1.6727824375684328e-01 -2.8070123114721097e+00
2.4026644600280506e+14 1.5103148462263341e-01 -2.8731495887699383e+00
2.4076700109864425e+14 1.3178771989754925e-01 -2.9773881076326583e+00
2.4126755619448341e+14 1.1784633309107841e-01 -3.1193534251732009e+00
2.4176811129032259e+14 1.0710990993462129e-01 -3.2516282121294267e+00
("port 2","TE",1,"port 2",1,"transmission",7.2928160375313282e-13)
(52, 3)
2.1724091159420291e+14 6.5668204489817905e-01 -1.9208721655547167e+00
2.1774146669004209e+14 6.3024719885050895e-01 -1.9901812211512053e+00
2.1824202178588125e+14 5.9893861891262734e-01 -2.0409753530142885e+00
2.1874257688172044e+14 5.5279434823728146e-01 -2.0331992332125677e+00
2.1924313197755962e+14 5.0377472509244914e-01 -2.0398928515682027e+00
2.1974368707339878e+14 4.3940830336411513e-01 -2.0270065180451979e+00
2.2024424216923797e+14 3.5999003061716850e-01 -1.9590663755749078e+00
2.2074479726507716e+14 2.7985477499101907e-01 -1.9334098342760682e+00
2.2124535236091631e+14 1.9752088270686119e-01 -1.9593407261115923e+00
2.2174590745675550e+14 1.3078126764740533e-01 -2.0352768286962659e+00
2.2224646255259469e+14 9.4897160069317740e-02 -2.2353817396887807e+00
2.2274701764843384e+14 7.2869031881455062e-02 -2.4981418941746019e+00
2.2324757274427303e+14 5.3810923179970806e-02 -2.6624596808468142e+00
2.2374812784011222e+14 3.8992003975322015e-02 -2.7310073585653614e+00
2.2424868293595138e+14 3.0482919299453941e-02 -2.9055702259104947e+00
2.2474923803179056e+14 1.9365087684693291e-02 -3.1206781158720016e+00
